#TWS,TWA,V,VMG,Heel,Reef,Flat,AWS,AWA,Lee,Sail
16.0,39.0,6.381,4.959,21.7,1.000,0.601,21.01,26.4,4.47,Up
16.0,39.6,6.419,4.945,21.8,1.000,0.604,21.00,26.8,4.44,Up
16.0,42.0,6.646,4.939,22.4,1.000,0.610,21.01,28.1,4.19,Up
16.0,45.0,6.846,4.841,22.6,0.982,0.648,20.95,29.9,4.01,Up
16.0,50.0,7.106,4.567,22.7,0.947,0.732,20.74,33.0,3.79,Up
16.0,60.0,7.517,3.758,22.6,0.906,0.897,20.11,39.5,3.43,Up
16.0,70.0,7.850,2.685,22.7,0.912,1.000,19.23,46.2,3.10,Up
16.0,80.0,8.128,1.411,23.0,0.974,1.000,18.15,53.1,2.76,Up
16.0,90.0,8.348,-0.000,18.3,1.000,1.000,17.34,61.2,2.13,Up
16.0,100.0,8.352,-1.450,12.1,1.000,1.000,16.38,70.1,1.59,Up
16.0,110.0,8.433,-2.884,23.3,0.967,1.000,14.12,77.9,2.13,Dn
16.0,120.0,8.590,-4.295,17.2,1.000,1.000,13.25,87.4,1.57,Dn
16.0,130.0,8.464,-5.441,10.0,1.000,1.000,12.21,98.6,1.08,Dn
16.0,135.0,8.335,-5.894,7.6,1.000,1.000,11.60,104.9,0.88,Dn
16.0,140.0,8.183,-6.269,5.6,1.000,1.000,11.02,111.7,0.70,Dn
16.0,150.0,7.840,-6.789,2.9,1.000,1.000,10.00,127.0,0.41,Dn
16.0,160.0,7.516,-7.063,1.5,1.000,1.000,9.30,144.0,0.25,Dn
16.0,169.3,7.273,7.146,0.7,1.000,1.000,8.96,160.6,0.12,Dn
16.0,170.0,7.255,-7.145,0.6,1.000,1.000,8.94,161.9,0.11,Dn
16.0,180.0,7.033,-7.033,-0.0,1.000,1.000,8.97,180.0,-0.00,Dn
20.0,30.0,4.680,4.053,20.1,1.000,0.461,23.92,23.1,8.29,Up
20.0,33.0,5.462,4.581,21.7,0.978,0.482,24.43,24.5,6.44,Up
20.0,36.0,5.978,4.836,22.2,0.940,0.526,24.69,26.2,5.54,Up
20.0,39.0,6.375,4.954,22.6,0.909,0.570,24.81,27.9,4.98,Up
20.0,40.4,6.487,4.942,22.7,0.897,0.593,24.80,28.8,4.85,Up
20.0,42.0,6.671,4.958,22.8,0.881,0.621,24.82,29.8,4.63,Up
20.0,45.0,6.892,4.874,22.8,0.858,0.675,24.74,31.8,4.40,Up
20.0,50.0,7.180,4.615,22.9,0.825,0.767,24.51,35.2,4.12,Up
20.0,60.0,7.639,3.819,22.9,0.794,0.926,23.78,42.1,3.67,Up
20.0,70.0,8.006,2.738,23.1,0.811,1.000,22.79,49.3,3.27,Up
20.0,80.0,8.333,1.447,23.3,0.868,1.000,21.60,56.9,2.88,Up
20.0,90.0,8.674,-0.000,23.6,0.945,1.000,20.27,64.7,2.50,Up
20.0,100.0,8.939,-1.552,20.0,1.000,1.000,19.30,73.5,1.95,Up
20.0,110.0,8.904,-3.046,12.7,1.000,1.000,18.45,83.6,1.42,Up
20.0,120.0,9.136,-4.568,24.9,0.958,1.000,15.73,93.1,1.87,Dn
20.0,130.0,9.344,-6.007,16.7,1.000,1.000,15.09,103.5,1.25,Dn
20.0,135.0,9.240,-6.533,11.8,1.000,1.000,14.68,109.5,1.00,Dn
20.0,140.0,9.053,-6.935,8.5,1.000,1.000,14.17,116.2,0.80,Dn
20.0,150.0,8.619,-7.464,4.7,1.000,1.000,13.23,131.1,0.51,Dn
20.0,160.0,8.277,-7.778,2.7,1.000,1.000,12.54,147.0,0.33,Dn
20.0,170.0,8.025,-7.903,1.1,1.000,1.000,12.18,163.4,0.15,Dn
20.0,171.0,8.005,7.905,1.0,1.000,1.000,12.16,165.0,0.14,Dn
20.0,180.0,7.814,-7.814,-0.0,1.000,1.000,12.19,180.0,-0.00,Dn
